;s1;s2;s3;s4;s5;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;S22;S23;S24;S25;S26
s11;47.155;26.215;42.511;37.431;28.171;16.232;39.368;39.776;30.615;43.279;0.000;16.785;36.383;19.557;23.826;31.771;6.291;26.379;11.138;24.763;5.967;16.047;18.684;11.668;51.017;14.958
s12;30.370;9.430;25.727;20.646;11.386;54.158;22.583;22.991;13.831;26.494;16.785;0.000;19.598;42.154;39.205;14.986;23.076;9.594;15.388;7.978;13.547;18.198;1.899;28.453;34.232;40.913
s13;10.912;10.167;6.129;1.897;30.983;34.700;2.985;5.262;10.846;8.764;36.383;19.598;0.000;22.696;19.747;4.612;42.674;15.473;34.986;21.120;33.144;29.542;17.699;37.996;14.774;39.589
s14;11.783;32.723;16.567;22.732;11.812;7.462;19.710;12.935;33.403;10.169;19.557;42.154;22.696;0.000;2.174;27.168;18.010;12.362;11.707;16.736;55.701;6.846;40.255;7.889;7.922;30.294
s15;8.835;29.775;13.618;19.784;11.718;9.636;16.762;10.761;30.454;7.995;23.826;39.205;19.747;2.174;0.000;24.220;20.184;12.268;12.688;16.081;52.752;8.141;37.307;10.063;6.042;33.115
s16;15.385;5.555;10.741;5.660;26.372;39.172;7.597;8.005;6.235;11.508;31.771;14.986;4.612;27.168;24.220;0.000;38.062;10.861;30.374;16.509;28.533;34.014;13.087;42.468;19.246;44.062
s17;38.969;32.506;43.753;43.722;17.311;11.991;45.659;46.067;36.907;24.625;6.291;23.076;42.674;18.010;20.184;38.062;0.000;32.670;10.610;31.054;12.258;13.476;24.975;10.121;36.669;8.233
s18;26.419;14.762;21.602;16.521;3.134;17.003;18.459;10.229;9.189;10.102;26.379;9.594;15.473;12.362;12.268;10.861;32.670;0.000;9.836;3.809;23.141;8.604;11.493;14.571;17.467;21.645
s19;20.679;24.818;25.463;36.034;6.701;12.600;37.971;16.769;29.219;13.767;11.138;15.388;34.986;11.707;12.688;30.374;10.610;9.836;0.000;12.576;15.000;4.910;17.287;8.613;17.887;15.687
s20;31.893;10.953;27.249;22.169;6.944;20.812;24.106;24.514;15.353;11.965;24.763;7.978;21.120;16.736;16.081;16.509;31.054;3.809;12.576;0.000;21.524;12.413;6.079;18.380;35.755;60.570
s21;43.917;22.977;39.273;34.193;24.933;22.199;36.130;36.538;27.377;40.040;5.967;13.547;33.144;55.701;52.752;28.533;12.258;23.141;15.000;21.524;0.000;19.910;15.446;17.635;47.779;27.875
S22;18.630;23.366;23.413;29.578;8.054;8.399;26.556;16.042;17.793;13.041;16.047;18.198;29.542;6.846;8.141;34.014;13.476;8.604;4.910;12.413;19.910;0.000;20.097;5.967;14.768;13.040
S23;28.472;7.532;23.828;18.747;13.285;52.259;20.684;21.092;11.932;24.595;18.684;1.899;17.699;40.255;37.307;13.087;24.975;11.493;17.287;6.079;15.446;20.097;0.000;30.352;32.333;42.812
s24;27.084;37.884;31.867;38.033;14.021;4.564;35.010;41.691;48.703;17.380;11.668;28.453;37.996;7.889;10.063;42.468;10.121;14.571;8.613;18.380;17.635;5.967;30.352;0.000;13.532;7.074
s25;3.862;24.802;8.645;14.811;16.917;10.677;11.788;18.469;25.481;13.427;51.017;34.232;14.774;7.922;6.042;19.246;36.669;17.467;17.887;35.755;47.779;14.768;32.333;13.532;0.000;26.377
s26;28.677;49.617;33.460;39.626;21.095;8.061;36.604;43.284;50.296;37.373;14.958;40.913;39.589;30.294;33.115;44.062;8.233;21.645;15.687;60.570;27.875;13.040;42.812;7.074;26.377;0.000
