;s1;s2;s3;s4;s5;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;S22;S23;S24;S25;S26
s13;1540.34;1517.08;839.92;280.66;5949.55;5709.43;450.99;2080.01;1825.16;4131.98;5353.22;2841.43;0.00;4742.77;4297.97;858.21;8240.77;5294.54;7736.07;3481.82;4846.86;7215.32;2569.03;7401.62;2200.47;6546.98
s14;3202.44;6227.69;3902.85;4757.32;5009.62;3437.79;4291.78;6001.74;6535.78;4701.47;8997.77;7552.04;4742.77;0.00;1107.58;5568.82;7595.30;5343.40;4842.12;7094.74;9557.48;2472.55;7279.65;3954.84;2542.30;6612.63
s15;2757.63;5782.89;3458.05;4312.52;4546.52;4545.36;3846.98;4894.16;6090.98;3593.89;9514.07;7107.24;4297.97;1107.58;0.00;5124.02;8702.88;4880.30;5120.89;6497.23;9112.67;3196.47;6834.84;5062.42;2345.48;7146.13
s16;2366.39;658.87;1698.13;936.48;5091.34;6535.48;1309.20;2690.66;966.96;4742.62;4495.01;1983.22;858.21;5568.82;5124.02;0.00;7382.56;4436.33;6877.86;2623.61;3988.65;8041.37;1710.82;8227.67;3026.52;7373.03
s17;8222.08;6723.69;8922.50;8319.04;7441.86;5090.77;8691.76;10073.22;7260.34;10783.65;2887.55;5399.34;8240.77;7595.30;8702.88;7382.56;0.00;7977.78;4749.61;6964.14;3819.58;6238.91;5671.74;3640.46;8048.52;3785.62
s18;6740.18;3811.44;6134.46;5372.81;1254.94;7072.63;5745.53;4730.03;3823.64;4633.57;5090.23;2578.44;5294.54;5343.40;4880.30;4436.33;7977.78;0.00;3947.20;1846.70;4583.87;3647.98;2850.83;6585.96;6447.63;10060.55
s19;7100.38;6218.99;7800.79;7814.34;2692.25;5220.66;8187.06;7492.72;6755.64;6213.08;4393.18;4894.64;7736.07;4842.12;5120.89;6877.86;4749.61;3947.20;0.00;5479.79;4956.91;2419.68;5167.04;3754.69;6688.22;7229.28
s20;4990.00;1964.74;4321.74;3560.09;3101.65;8919.33;3932.81;5314.27;2501.39;5222.59;4076.59;1564.80;3481.82;7094.74;6497.23;2623.61;6964.14;1846.70;5479.79;0.00;3570.23;5494.68;1292.40;8432.66;5650.13;9996.64
s21;6355.04;3329.78;5686.78;4925.13;5113.56;7964.33;5297.85;6679.31;3866.43;8731.27;932.03;2005.44;4846.86;9557.48;9112.67;3988.65;3819.58;4583.87;4956.91;3570.23;0.00;7376.59;2277.83;5974.96;7015.18;6777.64
S22;5674.98;7459.42;6375.40;7229.87;3314.20;3424.65;6764.33;7120.82;7471.62;5841.18;6812.86;6226.42;7215.32;2472.55;3196.47;8041.37;6238.91;3647.98;2419.68;5494.68;7376.59;0.00;6498.81;2937.98;5014.85;6412.57
S23;4077.21;1051.95;3408.95;2647.30;3380.52;8246.31;3020.02;4401.48;1588.60;6453.44;2784.19;272.40;2569.03;7279.65;6834.84;1710.82;5671.74;2850.83;5167.04;1292.40;2277.83;6498.81;0.00;7827.12;4737.34;8921.63
s24;5861.28;8879.08;6561.70;7416.17;6252.18;1989.36;6950.63;9250.13;9194.63;8092.86;5042.94;7554.73;7401.62;3954.84;5062.42;8227.67;3640.46;6585.96;3754.69;8432.66;5974.96;2937.98;7827.12;0.00;5654.87;3474.59
s25;660.13;3685.39;1360.55;2215.02;6113.85;3867.35;1749.48;4048.98;3993.48;4207.60;7521.53;5009.74;2200.47;2542.30;2345.48;3026.52;8048.52;6447.63;6688.22;5650.13;7015.18;5014.85;4737.34;5654.87;0.00;4833.09
s26;5006.64;8031.90;5707.06;6561.53;9726.77;3471.52;6095.99;8395.48;8339.99;8534.06;6638.44;8649.23;6546.98;6612.63;7146.13;7373.03;3785.62;10060.55;7229.28;9996.64;6777.64;6412.57;8921.63;3474.59;4833.09;0.00
