;s1;s2;s3;s4;s5;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30;s31;s32;s33;s34;s35;s36;s37;s38;s39;s40;s41
s18;2080.01;8068.22;1019.04;863.22;3044.53;1814.04;9360.18;11960.44;2002.22;5855.41;376.11;780.10;2849.15;1387.36;767.36;10991.88;1102.32;0.00;1393.25;830.84;15610.60;11222.15;980.02;8026.37;15801.75;3216.61;1859.48;985.68;14470.91;1313.78;1076.65;264.11;2691.26;10147.14;942.89;7481.42;2221.03;1400.10;4638.72;1812.50;6205.75
s19;14979.49;3003.24;2412.29;2256.46;6888.24;16341.78;13078.23;13991.88;3300.06;9175.83;1233.02;1088.96;2030.64;2780.60;558.52;14741.79;2495.56;1393.25;0.00;2224.08;14875.52;10331.85;1164.13;8617.02;3272.26;6620.14;3252.73;1944.82;12062.75;518.21;867.80;1441.18;2875.37;8703.76;807.16;1494.94;2405.13;2793.34;1319.73;1996.61;5315.45
s20;2499.29;10396.75;809.15;1700.18;3623.53;2233.33;9939.18;3838.16;2839.19;6434.41;1206.95;1610.94;3679.99;556.52;1598.20;3707.90;1220.24;830.84;2224.08;0.00;2700.07;12059.11;1810.86;8001.72;2891.22;3795.61;2438.49;480.89;13496.68;1703.71;1907.48;916.73;3288.11;9829.50;1332.82;8707.52;3051.86;569.26;5469.55;2643.34;7042.72
s21;380.03;10562.40;2014.26;14747.39;11108.86;680.14;7183.83;3643.11;13608.38;8838.47;15834.17;13786.55;13361.13;2262.07;14317.00;5349.10;1479.84;15610.60;14875.52;2700.07;0.00;4543.67;2299.28;9025.02;191.15;10840.76;12293.90;3129.38;2812.76;14697.59;14255.98;15745.21;588.04;6538.88;16423.99;11721.20;1130.59;2254.15;14001.98;1466.80;9560.07
s22;4647.65;6018.73;11317.98;10358.94;11063.90;5555.84;8520.77;5348.25;9219.93;10175.41;11290.51;9242.89;8817.46;10955.52;9773.33;7054.24;10173.28;11222.15;10331.85;12059.11;4543.67;0.00;7857.85;6882.69;4734.81;10795.80;12248.94;12078.33;1730.90;10153.92;9712.31;11356.76;1294.83;4761.92;10156.22;7177.54;1161.40;11557.87;9458.31;1233.99;5016.40
s23;12505.49;1839.11;8491.24;6756.01;6628.41;15623.85;12360.30;13273.95;5617.00;7578.35;4418.21;2370.59;1945.17;2367.38;605.61;14023.86;8666.32;980.02;1164.13;1810.86;2299.28;7857.85;0.00;7899.09;2108.13;6360.31;7813.45;1749.52;9588.75;953.81;298.38;1027.96;1711.24;7985.83;956.10;1252.31;1241.01;2380.12;155.61;832.48;4597.52
s24;9129.00;6655.61;6337.04;7163.15;4474.21;7548.14;4461.21;5374.86;6024.15;4465.31;9575.68;7528.06;7102.63;6895.90;8058.50;6124.77;5390.54;8026.37;8617.02;8001.72;9025.02;6882.69;7899.09;0.00;9216.16;4206.11;5659.25;8882.55;7885.33;8439.09;7997.48;8160.98;8177.52;2120.77;8839.76;7280.37;8044.09;6576.93;7743.48;8169.84;3301.57
s25;571.17;10753.55;2205.40;14938.53;11300.00;871.29;7374.97;3834.26;13799.52;9029.61;16025.32;13977.70;13552.28;2453.22;2713.74;5540.24;1670.98;15801.75;3272.26;2891.22;191.15;4734.81;2108.13;9216.16;0.00;11031.91;12485.05;3320.53;3003.91;3061.94;2406.51;15936.35;396.89;6730.03;3064.23;11912.35;939.44;2445.30;2263.74;1275.65;9751.21
s26;10944.74;8419.27;2130.93;4475.27;268.10;9363.88;5515.00;7190.60;3320.08;2098.47;5827.79;6888.85;5947.18;2689.80;7419.30;7146.70;2306.02;3216.61;6620.14;3795.61;10840.76;10795.80;6360.31;4206.11;11031.91;0.00;1453.14;6178.48;9701.07;6506.58;6458.70;5456.91;12090.63;6033.88;6135.69;6889.94;11957.20;2370.83;6204.70;9933.51;5065.24
s27;1830.56;9872.42;677.79;3118.15;1185.04;1564.60;7500.69;9191.28;4257.15;3995.92;6764.86;8482.91;7541.24;1236.65;2626.85;9132.39;852.87;1859.48;3252.73;2438.49;12293.90;12248.94;7813.45;5659.25;12485.05;1453.14;0.00;2845.16;11154.21;3173.27;7911.84;2123.59;13543.77;7487.02;2802.37;8343.09;13410.34;917.68;7657.84;11386.65;6518.38
s28;2928.60;10422.26;1238.46;1848.89;6446.58;2662.64;11423.34;12816.62;2858.40;8381.82;2730.16;1549.60;5203.20;985.83;1536.87;4137.21;1649.55;985.68;1944.82;480.89;3129.38;12078.33;1749.52;8882.55;3320.53;6178.48;2845.16;0.00;15327.09;1508.56;1846.15;721.57;3460.76;11003.32;1137.66;9835.46;2990.53;998.57;6992.76;2582.01;7061.93
s29;2916.74;7749.64;9806.14;13607.70;9969.17;3824.93;7008.93;3617.35;12468.69;8663.57;13021.41;10973.79;10548.37;7017.50;11504.24;5323.33;6235.27;14470.91;12062.75;13496.68;2812.76;1730.90;9588.75;7885.33;3003.91;9701.07;11154.21;15327.09;0.00;11884.83;11443.22;14605.52;2423.47;5399.19;11887.12;8908.44;2290.04;10046.03;11189.21;2362.63;6747.30
s30;14801.57;2792.92;2332.82;2177.00;6774.68;16163.86;12900.31;13813.95;3186.50;8709.93;945.83;911.04;1852.71;2208.65;1076.73;14563.87;2416.10;1313.78;518.21;1703.71;14697.59;10153.92;953.81;8439.09;3061.94;6506.58;3173.27;1508.56;11884.83;0.00;1386.02;1049.67;2665.05;8525.84;370.89;2206.12;2194.81;2221.39;1109.41;1786.29;5137.53
s31;14359.96;4543.96;8589.64;6854.41;6726.80;15722.24;12458.70;13372.34;5715.40;7676.74;4516.61;2468.99;2043.56;2464.01;309.29;14122.25;2178.97;1076.65;867.80;1907.48;14255.98;9712.31;298.38;7997.48;2406.51;6458.70;7911.84;1846.15;11443.22;1386.02;0.00;1124.58;2009.62;8084.22;1254.48;627.13;1539.39;2476.75;254.00;1130.86;4695.91
s32;15849.19;9700.69;1283.15;1127.32;5725.01;2078.15;10701.77;12095.05;2136.83;7660.25;2008.59;828.04;4481.63;1421.66;815.30;12333.47;1366.42;264.11;1441.18;916.73;15745.21;11356.76;1027.96;8160.98;15936.35;5456.91;2123.59;721.57;14605.52;1049.67;1124.58;0.00;2739.19;10281.75;678.78;9113.89;2268.96;1434.40;6271.19;1860.44;6340.36
s33;968.06;2392.99;2602.30;11653.76;12358.73;1268.18;9815.60;4231.15;10514.76;11470.24;6129.45;4081.83;3656.41;2850.11;2316.85;5937.13;2067.87;2691.26;2875.37;3288.11;588.04;1294.83;1711.24;8177.52;396.89;12090.63;13543.77;3460.76;2423.47;2665.05;2009.62;2739.19;0.00;6056.75;2667.34;3551.80;542.55;2842.19;1866.85;878.76;6311.23
s34;6642.86;5003.99;8164.82;9283.93;6301.98;7638.02;4740.70;4188.86;8144.92;6293.09;9662.42;7614.80;7189.38;7175.45;8145.24;4938.77;6393.21;10147.14;8703.76;9829.50;6538.88;4761.92;7985.83;2120.77;6730.03;6033.88;7487.02;11003.32;5399.19;8525.84;8084.22;10281.75;6056.75;0.00;8528.13;6162.79;5923.32;8404.71;7830.22;4923.67;3388.31
s35;16527.97;2795.21;1961.93;1806.10;6403.79;2756.93;11380.55;12773.83;2815.61;8339.03;2687.37;913.33;1855.01;1837.76;1019.40;13012.25;2045.20;942.89;807.16;1332.82;16423.99;10156.22;956.10;8839.76;3064.23;6135.69;2802.37;1137.66;11887.12;370.89;1254.48;678.78;2667.34;8528.13;0.00;2208.41;2197.11;1850.50;1111.71;1788.58;5139.82
s36;11825.18;1158.80;9020.88;7007.34;7158.04;12733.37;11741.58;10351.65;5868.34;8107.98;7105.30;5057.68;4632.26;9579.74;936.42;11101.56;9195.96;7481.42;1494.94;8707.52;11721.20;7177.54;1252.31;7280.37;11912.35;6889.94;8343.09;9835.46;8908.44;2206.12;627.13;9113.89;3551.80;6162.79;2208.41;0.00;3081.56;9260.77;3703.15;2673.04;3978.80
s37;1510.61;1922.76;12479.38;11520.34;12225.30;6114.97;9682.17;5907.39;10381.33;11336.81;5659.22;3611.60;3186.18;9307.54;1846.62;7613.37;8525.30;2221.03;2405.13;3051.86;1130.59;1161.40;1241.01;8044.09;939.44;11957.20;13410.34;2990.53;2290.04;2194.81;1539.39;2268.96;542.55;5923.32;2197.11;3081.56;0.00;12719.27;1396.61;408.53;6177.80
s38;2064.25;10790.10;239.89;4035.83;2102.73;1798.29;3924.69;3403.11;5174.84;4913.61;1776.21;2180.20;4249.25;318.97;2167.46;3272.85;963.34;1400.10;2793.34;569.26;2254.15;11557.87;2380.12;6576.93;2445.30;2370.83;917.68;998.57;10046.03;2221.39;2476.75;1434.40;2842.19;8404.71;1850.50;9260.77;12719.27;0.00;8575.53;12304.34;7436.06
s39;14105.95;4289.95;8335.64;6600.40;6472.80;15468.24;12204.69;13118.34;5461.40;7422.74;4262.61;2214.99;1789.56;6026.08;761.22;13868.25;8510.72;4638.72;1319.73;5469.55;14001.98;9458.31;155.61;7743.48;2263.74;6204.70;7657.84;6992.76;11189.21;1109.41;254.00;6271.19;1866.85;7830.22;1111.71;3703.15;1396.61;8575.53;0.00;988.09;4441.91
s40;5279.37;1514.24;12064.45;7588.49;10201.61;6187.56;9754.76;5979.97;6449.49;11151.55;5250.69;3203.07;2777.65;3199.86;1438.09;7685.96;8597.89;1812.50;1996.61;2643.34;1466.80;1233.99;832.48;8169.84;1275.65;9933.51;11386.65;2582.01;2362.63;1786.29;1130.86;1860.44;878.76;4923.67;1788.58;2673.04;408.53;12304.34;988.09;0.00;4868.27
s41;9664.04;3354.04;7196.17;5342.54;5333.33;11026.33;7762.78;8676.43;4203.53;6283.27;6274.11;4226.49;3801.06;7755.03;4756.93;9426.34;8692.11;6205.75;5315.45;7042.72;9560.07;5016.40;4597.52;3301.57;9751.21;5065.24;6518.38;7061.93;6747.30;5137.53;4695.91;6340.36;6311.23;3388.31;5139.82;3978.80;6177.80;7436.06;4441.91;4868.27;0.00
