;s1;s2;s3;s4;s5;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30;s31;s32;s33;s34;s35;s36;s37;s38;s39;s40;s41
s29;8.392;12.059;24.867;22.205;16.011;7.969;10.911;7.199;20.190;14.588;21.352;18.668;18.262;27.129;24.141;10.037;19.680;24.180;28.984;29.679;6.541;2.688;19.269;12.298;8.534;15.628;18.203;33.057;0.000;29.991;22.370;24.247;10.921;8.717;29.834;16.893;9.370;27.443;18.510;10.843;12.192
s30;38.383;19.940;26.519;16.248;21.381;37.103;29.150;31.058;15.022;24.095;12.065;11.323;12.516;24.326;10.952;32.125;29.368;14.273;6.109;19.180;36.532;27.303;12.730;21.868;35.852;20.998;20.953;16.638;29.991;0.000;15.547;10.965;31.722;23.745;4.329;21.237;27.612;24.318;13.978;22.375;17.800
s31;30.762;10.898;26.084;15.428;17.020;29.481;21.528;23.436;13.414;17.769;10.159;7.474;7.069;27.922;4.595;24.504;29.126;14.032;9.438;22.498;28.911;19.682;4.235;14.247;27.357;16.637;19.213;22.646;22.370;15.547;0.000;13.835;23.228;16.123;16.807;7.113;19.117;27.914;3.860;13.881;10.178
s32;30.817;16.191;15.554;5.283;10.416;27.654;18.690;21.138;4.056;13.130;4.117;8.285;7.207;16.499;9.240;21.818;18.403;3.308;13.562;11.353;28.967;21.715;11.467;13.904;30.960;10.033;9.987;8.811;24.247;10.965;13.835;0.000;30.460;17.791;6.636;17.488;26.349;16.491;10.416;21.113;12.212
s33;9.984;17.212;30.900;29.016;26.493;12.879;21.581;16.002;27.002;25.257;26.540;23.855;23.450;31.523;26.072;18.840;24.073;30.656;30.915;36.340;6.123;9.343;18.992;19.991;4.130;26.110;28.686;39.270;10.921;31.722;23.228;30.460;0.000;16.104;31.564;22.046;5.723;33.476;20.240;9.347;18.846
s34;15.287;7.555;19.453;15.749;10.389;13.358;8.160;7.831;13.734;11.015;15.106;12.421;12.016;25.250;17.894;8.898;17.801;17.724;22.737;24.057;13.436;6.761;13.512;3.887;15.429;10.006;12.582;26.601;8.717;23.745;16.123;17.791;16.104;0.000;23.587;12.389;14.553;22.030;12.264;13.863;5.945
s35;37.454;19.783;22.190;11.919;17.052;34.290;25.326;27.774;10.693;19.766;10.753;11.166;12.358;19.997;13.117;28.455;25.039;9.944;9.533;14.851;35.603;27.146;12.572;20.540;35.694;16.669;16.624;12.309;29.834;4.329;16.807;6.636;31.564;23.587;0.000;21.079;27.454;19.989;13.820;22.218;17.642
s36;25.285;4.834;25.060;16.517;15.996;24.861;20.348;20.220;14.503;16.745;13.371;10.686;10.280;31.003;11.708;21.287;28.140;18.093;16.551;26.294;23.434;14.205;8.507;13.066;25.427;15.613;18.189;26.298;16.893;21.237;7.113;17.488;22.046;12.389;21.079;0.000;17.936;27.637;8.334;12.699;8.998
s37;15.707;13.102;33.985;27.465;24.942;17.339;20.029;16.569;25.451;23.706;22.429;19.745;19.339;36.499;21.962;19.407;29.050;26.546;26.805;35.012;11.846;7.792;14.882;18.440;9.853;24.559;27.135;35.160;9.370;27.612;19.117;26.349;5.723;14.553;27.454;17.936;0.000;36.562;16.130;5.236;17.295
s38;26.226;25.771;2.577;14.372;11.641;22.443;16.873;22.028;16.387;14.960;18.605;22.364;21.695;3.366;23.319;19.655;9.790;13.882;27.641;5.416;27.354;28.770;25.546;19.023;29.347;12.024;9.448;12.445;27.443;24.318;27.914;16.491;33.476;22.030;19.989;27.637;36.562;0.000;24.801;33.636;20.811
s39;26.902;7.038;22.224;11.569;13.160;25.622;17.669;19.577;9.554;13.909;6.299;3.615;3.209;24.912;8.328;20.644;25.304;11.022;13.171;19.488;25.051;15.822;1.248;10.387;24.370;12.777;15.353;19.227;18.510;13.978;3.860;10.416;20.240;12.264;13.820;8.334;16.130;24.801;0.000;10.894;6.319
s40;19.235;7.865;31.059;22.462;21.995;18.811;21.502;18.042;20.448;22.744;17.193;14.508;14.103;35.200;16.725;20.880;30.523;21.310;21.568;29.776;15.469;9.264;9.646;16.893;13.476;21.612;24.188;29.924;10.843;22.375;13.881;21.113;9.347;13.863;22.218;12.699;5.236;33.636;10.894;0.000;12.825
s41;20.584;4.959;18.235;10.170;9.171;19.303;11.350;13.258;8.155;9.920;9.161;6.476;6.071;24.178;11.949;14.325;20.107;12.144;16.792;19.947;18.733;9.504;7.567;4.069;20.726;8.788;11.363;21.022;12.192;17.800;10.178;12.212;18.846;5.945;17.642;8.998;17.295;20.811;6.319;12.825;0.000
