;s1;s2;s3;s4;s5;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30;s31
s11;12185.18;773.35;10897.31;2871.87;598.95;2320.24;6397.84;852.06;4651.13;1146.57;0.00;1880.02;979.54;878.06;6204.78;1859.77;2839.17;367.80;801.46;9464.86;12025.72;831.46;1752.97;222.83;4543.52;1619.21;1487.72;1949.13;944.49;784.41;3700.62
s12;10215.56;7051.78;10795.80;2360.42;6693.18;440.22;4517.81;9207.68;2771.11;2856.82;1880.02;0.00;2689.80;8933.92;4324.76;6565.50;951.45;2247.82;5317.93;8988.43;11924.21;2711.48;6458.70;2102.85;2663.50;6135.69;9354.29;6465.61;5495.07;5334.98;1820.60
s13;9434.02;1441.84;10955.52;3857.44;1256.56;3130.01;5659.38;1520.55;5460.90;492.60;979.54;2689.80;0.00;1546.55;7014.56;2570.80;3648.95;1036.29;1512.49;9523.07;9274.55;181.07;2464.01;985.40;5353.29;1837.76;2145.33;2167.67;1655.53;1495.44;4510.39
s14;6147.19;104.70;5461.58;6676.72;670.52;8493.70;4416.11;341.88;6162.81;1901.28;878.06;8933.92;1546.55;0.00;9679.27;15222.45;8522.31;510.26;13699.39;6159.18;5987.73;1169.78;15115.66;655.23;10059.65;14517.15;488.49;15516.30;1822.55;1662.47;7113.32
s15;5890.80;9783.98;5756.87;5804.75;8200.49;3884.54;5263.17;9953.03;3996.09;6591.40;6204.78;4324.76;7014.56;9679.27;0.00;5543.18;5276.21;8498.68;5460.91;5012.62;6885.29;8357.10;5436.39;7748.47;1821.16;6278.66;10099.64;5837.03;7122.53;5477.95;4946.60
s16;1519.71;15327.16;7697.88;8045.49;13743.67;6125.28;10806.35;15496.21;9539.27;2303.44;1859.77;6565.50;2570.80;15222.45;5543.18;0.00;7516.95;14041.86;1092.40;6953.63;1679.17;2751.87;106.79;2082.60;3902.00;1361.28;15642.82;1451.83;915.27;1075.35;6848.32
s17;11167.01;6536.94;11747.25;1845.59;6178.34;1391.67;5469.27;8796.07;3722.56;3815.97;2839.17;951.45;3648.95;8522.31;5276.21;7516.95;0.00;4270.07;6269.39;9939.88;12875.66;4733.73;7410.15;4125.10;3614.95;7087.14;8942.68;7417.06;6446.52;6286.43;2772.05
s18;6657.45;405.56;9997.15;3017.00;298.19;2688.04;4701.01;484.27;4502.59;1391.02;367.80;2247.82;1036.29;510.26;8498.68;14041.86;4270.07;0.00;1169.25;8564.70;6497.99;659.52;13935.07;144.97;4911.32;1987.01;1186.96;2316.93;1312.29;1152.21;5453.10
s19;2003.51;1574.81;11217.78;7783.23;1400.41;5863.02;9283.29;1653.52;7536.58;1245.13;801.46;5317.93;1512.49;13699.39;5460.91;1092.40;6269.39;1169.25;0.00;10473.53;2162.97;1693.56;985.61;1024.29;3639.74;817.76;14119.76;1147.67;177.13;17.05;6586.07
s20;2032.12;6263.88;744.25;8481.01;8266.51;8548.21;4470.62;8062.92;6217.32;11845.26;9464.86;8988.43;9523.07;6159.18;5012.62;6953.63;9939.88;8564.70;10473.53;0.00;1872.66;9146.30;8968.06;8642.63;6833.79;9411.97;6700.14;9368.70;10654.20;10490.58;7167.83
s21;159.46;6092.43;1128.41;11041.87;9593.72;11483.99;7406.40;7891.47;9153.10;3374.01;12025.72;11924.21;9274.55;5987.73;6885.29;1679.17;12875.66;6497.99;2162.97;1872.66;0.00;8897.78;1572.38;8394.11;8706.45;2230.10;1985.15;2186.83;1985.84;2145.93;10103.61
s22;9057.25;1065.07;10578.75;3480.67;879.79;3151.70;5282.61;1143.78;4361.01;673.67;831.46;2711.48;181.07;1169.78;8357.10;2751.87;4733.73;659.52;1693.56;9146.30;8897.78;0.00;2645.08;608.63;5374.98;2018.83;1768.56;2348.75;1836.60;1676.52;5311.52
s23;1412.91;15220.36;9712.31;7938.69;13636.88;6018.49;10699.55;15389.42;9432.48;2196.65;1752.97;6458.70;2464.01;15115.66;5436.39;106.79;7410.15;13935.07;985.61;8968.06;1572.38;2645.08;0.00;1975.80;3795.21;1254.48;15536.03;1345.04;808.48;968.56;6741.53
s24;8553.57;550.52;10075.08;2872.04;376.12;2543.07;4778.94;629.23;3752.38;1340.14;222.83;2102.85;985.40;655.23;7748.47;2082.60;4125.10;144.97;1024.29;8642.63;8394.11;608.63;1975.80;0.00;4766.35;1842.04;1264.88;2171.96;1167.33;1007.24;4702.89
s25;7711.97;10164.35;7578.04;4143.49;8101.24;2223.28;5643.54;10333.41;3896.84;4770.24;4543.52;2663.50;5353.29;10059.65;1821.16;3902.00;3614.95;4911.32;3639.74;6833.79;8706.45;5374.98;3795.21;4766.35;0.00;4457.50;10480.02;4787.42;3816.88;3656.79;2946.32
s26;2070.64;2392.57;10156.22;8600.99;2218.16;6680.78;10101.04;2471.28;8354.34;1712.07;1619.21;6135.69;1837.76;14517.15;6278.66;1361.28;7087.14;1987.01;817.76;9411.97;2230.10;2018.83;1254.48;1842.04;4457.50;0.00;14937.52;329.92;994.89;834.80;7403.82
s27;2144.61;593.19;5955.89;7097.09;1090.89;8914.07;4836.48;762.25;6583.18;2500.06;1487.72;9354.29;2145.33;488.49;10099.64;15642.82;8942.68;1186.96;14119.76;6700.14;1985.15;1768.56;15536.03;1264.88;10480.02;14937.52;0.00;15936.67;2432.21;2272.13;7533.70
s28;2027.36;2722.48;10112.95;8930.90;2548.08;7010.70;11100.19;2801.19;9833.12;2041.99;1949.13;6465.61;2167.67;15516.30;5837.03;1451.83;7417.06;2316.93;1147.67;9368.70;2186.83;2348.75;1345.04;2171.96;4787.42;329.92;15936.67;0.00;796.91;1164.72;7733.74
s29;1826.38;1717.85;11398.45;7960.36;1543.45;6040.16;9460.42;1796.56;7713.71;1388.17;944.49;5495.07;1655.53;1822.55;7122.53;915.27;6446.52;1312.29;177.13;10654.20;1985.84;1836.60;808.48;1167.33;3816.88;994.89;2432.21;796.91;0.00;160.08;6763.20
s30;1986.47;1557.76;11234.83;7800.28;1383.36;5880.07;9300.33;1636.47;7553.63;1228.08;784.41;5334.98;1495.44;1662.47;5477.95;1075.35;6286.43;1152.21;17.05;10490.58;2145.93;1676.52;968.56;1007.24;3656.79;834.80;2272.13;1164.72;160.08;0.00;6603.12
s31;10263.08;7218.03;8975.20;3300.59;5154.91;1380.38;2697.22;7387.08;950.51;4677.42;3700.62;1820.60;4510.39;7113.32;4946.60;6848.32;2772.05;5453.10;6586.07;7167.83;10103.61;5311.52;6741.53;4702.89;2946.32;7403.82;7533.70;7733.74;6763.20;6603.12;0.00
